Year,Month,Value,Country
2024,Mar,"3,517",India
2024,Jan,"4,700",India
2024,Dec,"17,359",India
2024,Oct,"51,183",India
2024,Sep,"41,375",India
2024,Aug,"32,388",India
2024,Jun,"7,499",India
2024,May,"5,145",India
2024,Mar,"5,597",India
2024,Feb,"5,429",India
2024,Mar,70,Maldives
2024,Feb,76,Maldives
2024,Jan,74,Maldives
2024,Nov,140,Maldives
2024,Oct,127,Maldives
2024,Aug,395,Maldives
2024,Jun,627,Maldives
2024,May,675,Maldives
2024,Mar,126,Maldives
2024,Feb,120,Maldives
2024,Mar,167,Myanmar
2024,Feb,120,Myanmar
2024,Jan,172,Myanmar
2024,Nov,380,Myanmar
2024,Oct,690,Myanmar
2024,Aug,"1,239",Myanmar
2024,Jun,574,Myanmar
2024,May,311,Myanmar
2024,Mar,176,Myanmar
2024,Feb,181,Myanmar
2024,Mar,240,Nepal
2024,Feb,245,Nepal
2024,Jan,251,Nepal
2024,Nov,"5,544",Nepal
2024,Oct,"12,332",Nepal
2024,Aug,"6,493",Nepal
2024,Jun,632,Nepal
2024,May,495,Nepal
2024,Mar,374,Nepal
2024,Feb,408,Nepal
2024,Apr,"5,750",Indonesia
2024,Mar,"11,795",Indonesia
2024,Feb,"17,160",Indonesia
2024,Dec,"14,212",Indonesia
2024,Oct,"10,970",Indonesia
2024,Sep,"11,074",Indonesia
2024,Jul,"19,265",Indonesia
2024,May,"32,020",Indonesia
2024,Apr,"30,123",Indonesia
2024,Feb,"29,411",Indonesia
2024,Mar,"2,447",Thailand
2024,Feb,"2,269",Thailand
2024,Jan,"4,005",Thailand
2024,Nov,"7,006",Thailand
2024,Oct,"8,359",Thailand
2024,Aug,"16,119",Thailand
2024,Jun,"7,992",Thailand
2024,May,"4,968",Thailand
2024,Mar,"5,315",Thailand
2024,Feb,"7,123",Thailand
2024,Mar,"3,771",Sri Lanka
2024,Feb,"3,666",Sri Lanka
2024,Jan,"4,942",Sri Lanka
2024,Nov,"3,498",Sri Lanka
2024,Oct,"2,964",Sri Lanka
2024,Aug,"3,896",Sri Lanka
2024,Jun,"3,312",Sri Lanka
2024,May,"2,650",Sri Lanka
2024,Mar,"3,629",Sri Lanka
2024,Feb,"6,047",Sri Lanka
2024,Mar,336,Bangladesh
2024,Feb,374,Bangladesh
2024,Jan,"1,161",Bangladesh
2024,Nov,"29,652",Bangladesh
2024,Oct,"30,879",Bangladesh
2024,Aug,"6,521",Bangladesh
2024,Jun,798,Bangladesh
2024,May,644,Bangladesh
2024,Mar,311,Bangladesh
2024,Feb,339,Bangladesh
2024,Mar,9,Bhutan
2024,Feb,2,Bhutan
2024,Jan,25,Bhutan
2024,Nov,28,Bhutan
2024,Oct,30,Bhutan
2024,Aug,48,Bhutan
2024,Jun,9,Bhutan
2024,May,3,Bhutan
2024,Mar,5,Bhutan
2024,Feb,0,Bhutan
