Year,Month,Value,Country
2024,Nov,30354.0,India
2025,Nov,NA,India
2024,Oct,51183.0,India
2025,Oct,NA,India
2024,Sep,41375.0,India
2025,Sep,NA,India
2024,Aug,32388.0,India
2025,Aug,NA,India
2024,Aug,32388.0,India
2025,Aug,NA,India
2024,July,27675.0,India
2025,July,NA,India
2024,June,7499.0,India
2025,June,NA,India
2024,May,5145.0,India
2025,May,NA,India
2024,May,5145.0,India
2025,May,NA,India
2024,Apr,3342.0,India
2025,Apr,2700.0,India
2024,Mar,5597.0,India
2025,Mar,3517.0,India
2024,Feb,5429.0,India
2025,Feb,NA,India
2024,Nov,124.0,Maldives
2025,Nov,NA,Maldives
2024,Oct,117.0,Maldives
2025,Oct,NA,Maldives
2024,Sep,180.0,Maldives
2025,Sep,NA,Maldives
2024,Sep,180.0,Maldives
2025,Sep,NA,Maldives
2024,Aug,394.0,Maldives
2025,Aug,NA,Maldives
2024,July,440.0,Maldives
2025,July,NA,Maldives
2024,June,618.0,Maldives
2025,June,NA,Maldives
2024,June,618.0,Maldives
2025,June,NA,Maldives
2024,May,667.0,Maldives
2025,May,NA,Maldives
2024,Apr,255.0,Maldives
2025,Apr,120.0,Maldives
2024,Mar,125.0,Maldives
2025,Mar,69.0,Maldives
2024,Mar,125.0,Maldives
2025,Mar,69.0,Maldives
2024,Nov,380.0,Myanmar
2025,Nov,NA,Myanmar
2024,Oct,690.0,Myanmar
2025,Oct,NA,Myanmar
2024,Sep,933.0,Myanmar
2025,Sep,NA,Myanmar
2024,Aug,1239.0,Myanmar
2025,Aug,NA,Myanmar
2024,Aug,1239.0,Myanmar
2025,Aug,NA,Myanmar
2024,July,1236.0,Myanmar
2025,July,NA,Myanmar
2024,June,574.0,Myanmar
2025,June,NA,Myanmar
2024,May,311.0,Myanmar
2025,May,NA,Myanmar
2024,May,311.0,Myanmar
2025,May,NA,Myanmar
2024,Apr,203.0,Myanmar
2025,Apr,235.0,Myanmar
2024,Mar,176.0,Myanmar
2025,Mar,167.0,Myanmar
2024,Feb,181.0,Myanmar
2025,Feb,120.0,Myanmar
2023,Nov,2805.0,Nepal
2024,Nov,5544.0,Nepal
2025,Nov,NA,Nepal
2023,Oct,12699.0,Nepal
2024,Oct,12332.0,Nepal
2025,Oct,NA,Nepal
2023,Sep,13912.0,Nepal
2024,Sep,11875.0,Nepal
2025,Sep,NA,Nepal
2023,Aug,14534.0,Nepal
2024,Aug,6493.0,Nepal
2025,Aug,NA,Nepal
2023,Aug,14534.0,Nepal
2024,Aug,6493.0,Nepal
2025,Aug,NA,Nepal
2023,July,6459.0,Nepal
2024,July,1906.0,Nepal
2025,July,NA,Nepal
2023,June,1026.0,Nepal
2024,June,632.0,Nepal
2025,June,NA,Nepal
2023,May,163.0,Nepal
2024,May,495.0,Nepal
2025,May,NA,Nepal
2023,May,163.0,Nepal
2024,May,495.0,Nepal
2025,May,NA,Nepal
2023,Apr,158.0,Nepal
2024,Apr,463.0,Nepal
2025,Apr,197.0,Nepal
2023,Mar,195.0,Nepal
2024,Mar,374.0,Nepal
2025,Mar,240.0,Nepal
2023,Feb,130.0,Nepal
2024,Feb,408.0,Nepal
2025,Feb,245.0,Nepal
2007,Nov,6893.0,Indonesia
2008,Nov,8841.0,Indonesia
2009,Nov,9850.0,Indonesia
2010,Nov,7705.0,Indonesia
2011,Nov,5725.0,Indonesia
2012,Nov,6750.0,Indonesia
2013,Nov,4870.0,Indonesia
2014,Nov,7877.0,Indonesia
2015,Nov,6780.0,Indonesia
2016,Nov,8669.0,Indonesia
2017,Nov,4438.0,Indonesia
2018,Nov,6873.0,Indonesia
2019,Nov,5425.0,Indonesia
2020,Nov,2963.0,Indonesia
2021,Nov,9899.0,Indonesia
2022,Nov,9423.0,Indonesia
2023,Nov,10082.0,Indonesia
2024,Nov,11975.0,Indonesia
2025,Nov,NA,Indonesia
2007,Oct,5047.0,Indonesia
2008,Oct,6842.0,Indonesia
2009,Oct,8345.0,Indonesia
2010,Oct,8149.0,Indonesia
2011,Oct,4837.0,Indonesia
2012,Oct,5507.0,Indonesia
2013,Oct,5703.0,Indonesia
2014,Oct,8149.0,Indonesia
2015,Oct,5215.0,Indonesia
2016,Oct,8855.0,Indonesia
2017,Oct,4127.0,Indonesia
2018,Oct,5508.0,Indonesia
2019,Oct,4376.0,Indonesia
2020,Oct,2419.0,Indonesia
2021,Oct,6092.0,Indonesia
2022,Oct,10135.0,Indonesia
2023,Oct,8339.0,Indonesia
2024,Oct,10970.0,Indonesia
2025,Oct,NA,Indonesia
2007,Sep,5181.0,Indonesia
2008,Sep,5398.0,Indonesia
2009,Sep,7598.0,Indonesia
2010,Sep,7986.0,Indonesia
2011,Sep,3913.0,Indonesia
2012,Sep,4341.0,Indonesia
2013,Sep,6063.0,Indonesia
2014,Sep,7634.0,Indonesia
2015,Sep,4846.0,Indonesia
2016,Sep,9277.0,Indonesia
2017,Sep,3514.0,Indonesia
2018,Sep,4487.0,Indonesia
2019,Sep,4154.0,Indonesia
2020,Sep,2743.0,Indonesia
2021,Sep,4057.0,Indonesia
2022,Sep,10994.0,Indonesia
2023,Sep,7946.0,Indonesia
2024,Sep,11074.0,Indonesia
2025,Sep,NA,Indonesia
2007,Aug,7470.0,Indonesia
2008,Aug,5655.0,Indonesia
2009,Aug,9826.0,Indonesia
2010,Aug,9615.0,Indonesia
2011,Aug,4372.0,Indonesia
2012,Aug,4460.0,Indonesia
2013,Aug,7173.0,Indonesia
2014,Aug,7604.0,Indonesia
2015,Aug,5485.0,Indonesia
2016,Aug,11342.0,Indonesia
2017,Aug,3618.0,Indonesia
2018,Aug,4795.0,Indonesia
2019,Aug,5386.0,Indonesia
2020,Aug,3833.0,Indonesia
2021,Aug,3414.0,Indonesia
2022,Aug,12348.0,Indonesia
2023,Aug,8719.0,Indonesia
2024,Aug,14563.0,Indonesia
2025,Aug,NA,Indonesia
2007,Aug,7470.0,Indonesia
2008,Aug,5655.0,Indonesia
2009,Aug,9826.0,Indonesia
2010,Aug,9615.0,Indonesia
2011,Aug,4372.0,Indonesia
2012,Aug,4460.0,Indonesia
2013,Aug,7173.0,Indonesia
2014,Aug,7604.0,Indonesia
2015,Aug,5485.0,Indonesia
2016,Aug,11342.0,Indonesia
2017,Aug,3618.0,Indonesia
2018,Aug,4795.0,Indonesia
2019,Aug,5386.0,Indonesia
2020,Aug,3833.0,Indonesia
2021,Aug,3414.0,Indonesia
2022,Aug,12348.0,Indonesia
2023,Aug,8719.0,Indonesia
2024,Aug,14563.0,Indonesia
2025,Aug,NA,Indonesia
2007,July,10449.0,Indonesia
2008,July,8011.0,Indonesia
2009,July,13703.0,Indonesia
2010,July,10929.0,Indonesia
2011,July,4432.0,Indonesia
2012,July,6009.0,Indonesia
2013,July,8726.0,Indonesia
2014,July,7360.0,Indonesia
2015,July,7194.0,Indonesia
2016,July,12005.0,Indonesia
2017,July,3836.0,Indonesia
2018,July,5303.0,Indonesia
2019,July,7738.0,Indonesia
2020,July,6329.0,Indonesia
2021,July,3422.0,Indonesia
2022,July,13118.0,Indonesia
2023,July,8052.0,Indonesia
2024,July,19265.0,Indonesia
2025,July,NA,Indonesia
2007,June,13325.0,Indonesia
2008,June,10699.0,Indonesia
2009,June,14120.0,Indonesia
2010,June,11643.0,Indonesia
2011,June,4486.0,Indonesia
2012,June,6887.0,Indonesia
2013,June,9170.0,Indonesia
2014,June,8353.0,Indonesia
2015,June,10005.0,Indonesia
2016,June,15183.0,Indonesia
2017,June,4190.0,Indonesia
2018,June,4685.0,Indonesia
2019,June,9514.0,Indonesia
2020,June,8106.0,Indonesia
2021,June,5444.0,Indonesia
2022,June,12762.0,Indonesia
2023,June,8115.0,Indonesia
2024,June,24098.0,Indonesia
2025,June,NA,Indonesia
2007,May,17221.0,Indonesia
2008,May,15127.0,Indonesia
2009,May,15654.0,Indonesia
2010,May,13364.0,Indonesia
2011,May,4811.0,Indonesia
2012,May,7999.0,Indonesia
2013,May,10871.0,Indonesia
